"tipo_mueble","nivel","material","unidad","cantidad","notas","","","","","","","","","","","","","","","","","","","",""
"Placard Estándar","2","Placa MDF 18mm - * Nivel 2 Blanco","placa","2","","","","","","","","","","","","","","","","","","","","",""
"Placard Estándar","2","Fondo MDF - Blanco Absoluto Soft","placa","1","","","","","","","","","","","","","","","","","","","","",""
"Placard Estándar","2","Tapacanto - PVC Blanco","metro","22","Medida 22×0,8mm","","","","","","","","","","","","","","","","","","","",""
"Placard Estándar","2","Bisagra - Codo 0 Común","unidad","8","","","","","","","","","","","","","","","","","","","","",""
"Placard Estándar","2","Caño Oval - Perchero","metro","1","","","","","","","","","","","","","","","","","","","","",""
"Placard Estándar","2","Caño Oval - Soporte Embutir","unidad","2","","","","","","","","","","","","","","","","","","","","",""
"Placard Estándar","2","Soporte Estante - 5/5","unidad","4","","","","","","","","","","","","","","","","","","","","",""
"Placard Estándar","2","Tornillo 50mm - Melamina T10","unidad","24","","","","","","","","","","","","","","","","","","","","",""
"Placard Estándar","2","Tornillo 16mm - Melamina T10","unidad","52","","","","","","","","","","","","","","","","","","","","",""
"Placard Estándar","3","Placa MDF 18mm - * Nivel 3","placa","2","","","","","","","","","","","","","","","","","","","","",""
"Placard Estándar","3","Fondo MDF - Blanco Absoluto Soft","placa","1","","","","","","","","","","","","","","","","","","","","",""
"Placard Estándar","3","Tapacanto - ABS Egger","metro","22","Medida 2×23mm","","","","","","","","","","","","","","","","","","","",""
"Placard Estándar","3","Bisagra - Codo 0 C.Suave","unidad","8","","","","","","","","","","","","","","","","","","","","",""
"Placard Estándar","3","Caño Oval - Perchero","metro","1","","","","","","","","","","","","","","","","","","","","",""
"Placard Estándar","3","Caño Oval - Soporte Embutir","unidad","2","","","","","","","","","","","","","","","","","","","","",""
"Placard Estándar","3","Soporte Estante - 5/5","unidad","4","","","","","","","","","","","","","","","","","","","","",""
"Placard Estándar","3","Tornillo 50mm - Melamina T10","unidad","24","","","","","","","","","","","","","","","","","","","","",""
"Placard Estándar","3","Tornillo 16mm - Melamina T10","unidad","52","","","","","","","","","","","","","","","","","","","","",""
"Placard Estándar","4","Placa MDF Crudo 18mm - * Nivel 4","placa","2","","","","","","","","","","","","","","","","","","","","",""
"Placard Estándar","4","Fondo MDF - Blanco Absoluto Soft","placa","1","","","","","","","","","","","","","","","","","","","","",""
"Placard Estándar","4","Tapacanto - ABS Egger","metro","22","Medida 2×23mm","","","","","","","","","","","","","","","","","","","",""
"Placard Estándar","4","Bisagra - Codo 0 C.Suave","unidad","8","","","","","","","","","","","","","","","","","","","","",""
"Placard Estándar","4","Caño Oval - Perchero","metro","1","","","","","","","","","","","","","","","","","","","","",""
"Placard Estándar","4","Caño Oval - Soporte Embutir","unidad","2","","","","","","","","","","","","","","","","","","","","",""
"Placard Estándar","4","Soporte Estante - 5/5","unidad","4","","","","","","","","","","","","","","","","","","","","",""
"Placard Estándar","4","Tornillo 50mm - Melamina T10","unidad","24","","","","","","","","","","","","","","","","","","","","",""
"Placard Estándar","4","Tornillo 16mm - Melamina T10","unidad","52","","","","","","","","","","","","","","","","","","","","",""
"Placard Estándar","5","Placa Rauvisio - Brilliant","placa","1","","","","","","","","","","","","","","","","","","","","",""
"Placard Estándar","5","Placa MDF 18mm - * Nivel 2 Blanco","placa","1","Interior","","","","","","","","","","","","","","","","","","","",""
"Placard Estándar","5","Fondo MDF - Blanco Absoluto Soft","placa","1","","","","","","","","","","","","","","","","","","","","",""
"Placard Estándar","5","Tapacanto - ABS PerfectSense","metro","22","Medida 1×23mm","","","","","","","","","","","","","","","","","","","",""
"Placard Estándar","5","Bisagra - Codo 0 C.Suave","unidad","8","","","","","","","","","","","","","","","","","","","","",""
"Placard Estándar","5","Caño Oval - Perchero","metro","1","","","","","","","","","","","","","","","","","","","","",""
"Placard Estándar","5","Caño Oval - Soporte Embutir","unidad","2","","","","","","","","","","","","","","","","","","","","",""
"Placard Estándar","5","Soporte Estante - 5/5","unidad","4","","","","","","","","","","","","","","","","","","","","",""
"Placard Estándar","5","Tornillo 50mm - Melamina T10","unidad","24","","","","","","","","","","","","","","","","","","","","",""
"Placard Estándar","5","Tornillo 16mm - Melamina T10","unidad","52","","","","","","","","","","","","","","","","","","","","",""
"Alacena 2 Puertas","2","Placa MDF 18mm - * Nivel 2 Blanco","placa","1","","","","","","","","","","","","","","","","","","","","",""
"Alacena 2 Puertas","2","Fondo MDF - Blanco Absoluto Soft","placa","1","","","","","","","","","","","","","","","","","","","","",""
"Alacena 2 Puertas","2","Tapacanto - PVC Blanco","metro","10","Medida 22×0,8mm","","","","","","","","","","","","","","","","","","","",""
"Alacena 2 Puertas","2","Bisagra - Codo 0 Común","unidad","4","","","","","","","","","","","","","","","","","","","","",""
"Alacena 2 Puertas","2","Colgador Alacena - F-10","unidad","2","","","","","","","","","","","","","","","","","","","","",""
"Alacena 2 Puertas","2","Soporte Estante - 5/5","unidad","4","","","","","","","","","","","","","","","","","","","","",""
"Alacena 2 Puertas","2","Tornillo 50mm - Melamina T10","unidad","16","","","","","","","","","","","","","","","","","","","","",""
"Alacena 2 Puertas","2","Tornillo 16mm - Melamina T10","unidad","32","","","","","","","","","","","","","","","","","","","","",""
"Alacena 2 Puertas","3","Placa MDF 18mm - * Nivel 3","placa","1","","","","","","","","","","","","","","","","","","","","",""
"Alacena 2 Puertas","3","Fondo MDF - Blanco Absoluto Soft","placa","1","","","","","","","","","","","","","","","","","","","","",""
"Alacena 2 Puertas","3","Tapacanto - ABS Egger","metro","10","Medida 2×23mm","","","","","","","","","","","","","","","","","","","",""
"Alacena 2 Puertas","3","Bisagra - Codo 0 C.Suave","unidad","4","","","","","","","","","","","","","","","","","","","","",""
"Alacena 2 Puertas","3","Colgador Alacena - F-10","unidad","2","","","","","","","","","","","","","","","","","","","","",""
"Alacena 2 Puertas","3","Soporte Estante - 5/5","unidad","4","","","","","","","","","","","","","","","","","","","","",""
"Alacena 2 Puertas","3","Tornillo 50mm - Melamina T10","unidad","16","","","","","","","","","","","","","","","","","","","","",""
"Alacena 2 Puertas","3","Tornillo 16mm - Melamina T10","unidad","32","","","","","","","","","","","","","","","","","","","","",""
"Alacena 2 Puertas","4","Placa MDF Crudo 18mm - * Nivel 4","placa","1","","","","","","","","","","","","","","","","","","","","",""
"Alacena 2 Puertas","4","Fondo MDF - Blanco Absoluto Soft","placa","1","","","","","","","","","","","","","","","","","","","","",""
"Alacena 2 Puertas","4","Tapacanto - ABS Egger","metro","10","Medida 2×23mm","","","","","","","","","","","","","","","","","","","",""
"Alacena 2 Puertas","4","Bisagra - Codo 0 C.Suave","unidad","4","","","","","","","","","","","","","","","","","","","","",""
"Alacena 2 Puertas","4","Colgador Alacena - F-10","unidad","2","","","","","","","","","","","","","","","","","","","","",""
"Alacena 2 Puertas","4","Soporte Estante - 5/5","unidad","4","","","","","","","","","","","","","","","","","","","","",""
"Alacena 2 Puertas","4","Tornillo 50mm - Melamina T10","unidad","16","","","","","","","","","","","","","","","","","","","","",""
"Alacena 2 Puertas","4","Tornillo 16mm - Melamina T10","unidad","32","","","","","","","","","","","","","","","","","","","","",""
"Alacena 2 Puertas","5","Placa Rauvisio - Brilliant","placa","1","","","","","","","","","","","","","","","","","","","","",""
"Alacena 2 Puertas","5","Placa MDF 18mm - * Nivel 2 Blanco","placa","1","Interior","","","","","","","","","","","","","","","","","","","",""
"Alacena 2 Puertas","5","Fondo MDF - Blanco Absoluto Soft","placa","1","","","","","","","","","","","","","","","","","","","","",""
"Alacena 2 Puertas","5","Tapacanto - ABS PerfectSense","metro","10","Medida 1×23mm","","","","","","","","","","","","","","","","","","","",""
"Alacena 2 Puertas","5","Bisagra - Codo 0 C.Suave","unidad","4","","","","","","","","","","","","","","","","","","","","",""
"Alacena 2 Puertas","5","Colgador Alacena - F-10","unidad","2","","","","","","","","","","","","","","","","","","","","",""
"Alacena 2 Puertas","5","Soporte Estante - 5/5","unidad","4","","","","","","","","","","","","","","","","","","","","",""
"Alacena 2 Puertas","5","Tornillo 50mm - Melamina T10","unidad","16","","","","","","","","","","","","","","","","","","","","",""
"Alacena 2 Puertas","5","Tornillo 16mm - Melamina T10","unidad","32","","","","","","","","","","","","","","","","","","","","",""
"Bajo Mesada 2 Puertas","2","Placa MDF 18mm - * Nivel 2 Blanco","placa","1","","","","","","","","","","","","","","","","","","","","",""
"Bajo Mesada 2 Puertas","2","Fondo MDF - Blanco Absoluto Soft","placa","1","","","","","","","","","","","","","","","","","","","","",""
"Bajo Mesada 2 Puertas","2","Tapacanto - PVC Blanco","metro","8","Medida 22×0,8mm","","","","","","","","","","","","","","","","","","","",""
"Bajo Mesada 2 Puertas","2","Bisagra - Codo 0 Común","unidad","4","","","","","","","","","","","","","","","","","","","","",""
"Bajo Mesada 2 Puertas","2","Pata - PVC Reg. 70-100","unidad","4","","","","","","","","","","","","","","","","","","","","",""
"Bajo Mesada 2 Puertas","2","Zócalo 3m - 100mm","metro","1","","","","","","","","","","","","","","","","","","","","",""
"Bajo Mesada 2 Puertas","2","Soporte Estante - 5/5","unidad","4","","","","","","","","","","","","","","","","","","","","",""
"Bajo Mesada 2 Puertas","2","Tornillo 50mm - Melamina T10","unidad","16","","","","","","","","","","","","","","","","","","","","",""
"Bajo Mesada 2 Puertas","2","Tornillo 16mm - Melamina T10","unidad","52","","","","","","","","","","","","","","","","","","","","",""
"Bajo Mesada 2 Puertas","3","Placa MDF 18mm - * Nivel 3","placa","1","","","","","","","","","","","","","","","","","","","","",""
"Bajo Mesada 2 Puertas","3","Fondo MDF - Blanco Absoluto Soft","placa","1","","","","","","","","","","","","","","","","","","","","",""
"Bajo Mesada 2 Puertas","3","Tapacanto - ABS Egger","metro","8","Medida 2×23mm","","","","","","","","","","","","","","","","","","","",""
"Bajo Mesada 2 Puertas","3","Bisagra - Codo 0 C.Suave","unidad","4","","","","","","","","","","","","","","","","","","","","",""
"Bajo Mesada 2 Puertas","3","Pata - PVC Reg. 70-100","unidad","4","","","","","","","","","","","","","","","","","","","","",""
"Bajo Mesada 2 Puertas","3","Zócalo 3m - 100mm","metro","1","","","","","","","","","","","","","","","","","","","","",""
"Bajo Mesada 2 Puertas","3","Soporte Estante - 5/5","unidad","4","","","","","","","","","","","","","","","","","","","","",""
"Bajo Mesada 2 Puertas","3","Tornillo 50mm - Melamina T10","unidad","16","","","","","","","","","","","","","","","","","","","","",""
"Bajo Mesada 2 Puertas","3","Tornillo 16mm - Melamina T10","unidad","52","","","","","","","","","","","","","","","","","","","","",""
"Bajo Mesada 2 Puertas","4","Placa MDF Crudo 18mm - * Nivel 4","placa","1","","","","","","","","","","","","","","","","","","","","",""
"Bajo Mesada 2 Puertas","4","Fondo MDF - Blanco Absoluto Soft","placa","1","","","","","","","","","","","","","","","","","","","","",""
"Bajo Mesada 2 Puertas","4","Tapacanto - ABS Egger","metro","8","Medida 2×23mm","","","","","","","","","","","","","","","","","","","",""
"Bajo Mesada 2 Puertas","4","Bisagra - Codo 0 C.Suave","unidad","4","","","","","","","","","","","","","","","","","","","","",""
"Bajo Mesada 2 Puertas","4","Pata - PVC Reg. 70-100","unidad","4","","","","","","","","","","","","","","","","","","","","",""
"Bajo Mesada 2 Puertas","4","Zócalo 3m - 100mm","metro","1","","","","","","","","","","","","","","","","","","","","",""
"Bajo Mesada 2 Puertas","4","Soporte Estante - 5/5","unidad","4","","","","","","","","","","","","","","","","","","","","",""
"Bajo Mesada 2 Puertas","4","Tornillo 50mm - Melamina T10","unidad","16","","","","","","","","","","","","","","","","","","","","",""
"Bajo Mesada 2 Puertas","4","Tornillo 16mm - Melamina T10","unidad","52","","","","","","","","","","","","","","","","","","","","",""
"Bajo Mesada 2 Puertas","5","Placa Rauvisio - Brilliant","placa","1","","","","","","","","","","","","","","","","","","","","",""
"Bajo Mesada 2 Puertas","5","Placa MDF 18mm - * Nivel 2 Blanco","placa","1","Interior","","","","","","","","","","","","","","","","","","","",""
"Bajo Mesada 2 Puertas","5","Fondo MDF - Blanco Absoluto Soft","placa","1","","","","","","","","","","","","","","","","","","","","",""
"Bajo Mesada 2 Puertas","5","Tapacanto - ABS PerfectSense","metro","8","Medida 1×23mm","","","","","","","","","","","","","","","","","","","",""
"Bajo Mesada 2 Puertas","5","Bisagra - Codo 0 C.Suave","unidad","4","","","","","","","","","","","","","","","","","","","","",""
"Bajo Mesada 2 Puertas","5","Pata - PVC Reg. 70-100","unidad","4","","","","","","","","","","","","","","","","","","","","",""
"Bajo Mesada 2 Puertas","5","Zócalo 3m - 100mm","metro","1","","","","","","","","","","","","","","","","","","","","",""
"Bajo Mesada 2 Puertas","5","Soporte Estante - 5/5","unidad","4","","","","","","","","","","","","","","","","","","","","",""
"Bajo Mesada 2 Puertas","5","Tornillo 50mm - Melamina T10","unidad","16","","","","","","","","","","","","","","","","","","","","",""
"Bajo Mesada 2 Puertas","5","Tornillo 16mm - Melamina T10","unidad","52","","","","","","","","","","","","","","","","","","","","",""
"Bajo Mesada Cajonera","2","Placa MDF 18mm - * Nivel 2 Blanco","placa","1","","","","","","","","","","","","","","","","","","","","",""
"Bajo Mesada Cajonera","2","Fondo MDF - Blanco Absoluto Soft","placa","1","","","","","","","","","","","","","","","","","","","","",""
"Bajo Mesada Cajonera","2","Tapacanto - PVC Blanco","metro","15","Medida 22×0,8mm","","","","","","","","","","","","","","","","","","","",""
"Bajo Mesada Cajonera","2","Bisagra - Codo 0 Común","unidad","2","","","","","","","","","","","","","","","","","","","","",""
"Bajo Mesada Cajonera","2","Corredera Telesc. - Común","par","3","","","","","","","","","","","","","","","","","","","","",""
"Bajo Mesada Cajonera","2","Pata - PVC Reg. 70-100","kit","4","","","","","","","","","","","","","","","","","","","","",""
"Bajo Mesada Cajonera","2","Zócalo 3m - 100mm","metro","2,12","","","","","","","","","","","","","","","","","","","","",""
"Bajo Mesada Cajonera","2","Tornillo 30mm - Melamina T10","unidad","24","","","","","","","","","","","","","","","","","","","","",""
"Bajo Mesada Cajonera","2","Tornillo 16mm - Melamina T10","unidad","60","","","","","","","","","","","","","","","","","","","","",""
"Bajo Mesada Cajonera","3","Placa MDF 18mm - * Nivel 3","placa","1","","","","","","","","","","","","","","","","","","","","",""
"Bajo Mesada Cajonera","3","Fondo MDF - Blanco Absoluto Soft","placa","1","","","","","","","","","","","","","","","","","","","","",""
"Bajo Mesada Cajonera","3","Tapacanto - ABS Egger","metro","15","Medida 2×23mm","","","","","","","","","","","","","","","","","","","",""
"Bajo Mesada Cajonera","3","Bisagra - Codo 0 C.Suave","unidad","4","","","","","","","","","","","","","","","","","","","","",""
"Bajo Mesada Cajonera","3","Corredera Telesc. - C.Suave","par","3","","","","","","","","","","","","","","","","","","","","",""
"Bajo Mesada Cajonera","3","Pata - PVC Reg. 70-100","kit","4","","","","","","","","","","","","","","","","","","","","",""
"Bajo Mesada Cajonera","3","Zócalo 3m - 100mm","metro","2,12","","","","","","","","","","","","","","","","","","","","",""
"Bajo Mesada Cajonera","3","Tornillo 30mm - Melamina T10","unidad","24","","","","","","","","","","","","","","","","","","","","",""
"Bajo Mesada Cajonera","3","Tornillo 16mm - Melamina T10","unidad","60","","","","","","","","","","","","","","","","","","","","",""
"Bajo Mesada Cajonera","4","Placa MDF Crudo 18mm - * Nivel 4","placa","1","","","","","","","","","","","","","","","","","","","","",""
"Bajo Mesada Cajonera","4","Fondo MDF - Blanco Absoluto Soft","placa","1","","","","","","","","","","","","","","","","","","","","",""
"Bajo Mesada Cajonera","4","Tapacanto - ABS Egger","metro","15","Medida 2×23mm","","","","","","","","","","","","","","","","","","","",""
"Bajo Mesada Cajonera","4","Bisagra - Codo 0 C.Suave","unidad","2","","","","","","","","","","","","","","","","","","","","",""
"Bajo Mesada Cajonera","4","Guía Oculta - C.Suave","par","3","","","","","","","","","","","","","","","","","","","","",""
"Bajo Mesada Cajonera","4","Pata - PVC Reg. 70-100","kit","4","","","","","","","","","","","","","","","","","","","","",""
"Bajo Mesada Cajonera","4","Zócalo 3m - 100mm","metro","2,12","","","","","","","","","","","","","","","","","","","","",""
"Bajo Mesada Cajonera","4","Tornillo 30mm - Melamina T10","unidad","24","","","","","","","","","","","","","","","","","","","","",""
"Bajo Mesada Cajonera","4","Tornillo 16mm - Melamina T10","unidad","60","","","","","","","","","","","","","","","","","","","","",""
"Bajo Mesada Cajonera","5","Placa Rauvisio - Brilliant","placa","1","","","","","","","","","","","","","","","","","","","","",""
"Bajo Mesada Cajonera","5","Placa MDF 18mm - * Nivel 2 Blanco","placa","1","Interior","","","","","","","","","","","","","","","","","","","",""
"Bajo Mesada Cajonera","5","Fondo MDF - Blanco Absoluto Soft","placa","1","","","","","","","","","","","","","","","","","","","","",""
"Bajo Mesada Cajonera","5","Tapacanto - ABS PerfectSense","metro","6","Frente","","","","","","","","","","","","","","","","","","","",""
"Bajo Mesada Cajonera","5","Tapacanto - PVC Blanco","metro","9","Interior 0.40mm","","","","","","","","","","","","","","","","","","","",""
"Bajo Mesada Cajonera","5","Bisagra - Codo 0 C.Suave","unidad","2","","","","","","","","","","","","","","","","","","","","",""
"Bajo Mesada Cajonera","5","Matrix S - Blanco 84mm","kit","3","","","","","","","","","","","","","","","","","","","","",""
"Bajo Mesada Cajonera","5","Pata - PVC Reg. 70-100","kit","4","","","","","","","","","","","","","","","","","","","","",""
"Bajo Mesada Cajonera","5","Zócalo 3m - 100mm","metro","2,12","","","","","","","","","","","","","","","","","","","","",""
"Bajo Mesada Cajonera","5","Tornillo 30mm - Melamina T10","unidad","24","","","","","","","","","","","","","","","","","","","","",""
"Bajo Mesada Cajonera","5","Tornillo 16mm - Melamina T10","unidad","60","","","","","","","","","","","","","","","","","","","","",""
"Rack de TV","2","Placa MDF 18mm - * Nivel 2 Blanco","placa","1","","","","","","","","","","","","","","","","","","","","",""
"Rack de TV","2","Fondo MDF - Blanco Absoluto Soft","placa","1","","","","","","","","","","","","","","","","","","","","",""
"Rack de TV","2","Tapacanto - PVC Blanco","metro","18","Medida 22×0,8mm","","","","","","","","","","","","","","","","","","","",""
"Rack de TV","2","Bisagra - Codo 0 Común","unidad","4","","","","","","","","","","","","","","","","","","","","",""
"Rack de TV","2","Corredera Telesc. - Común","par","1","Medida 40cm","","","","","","","","","","","","","","","","","","","",""
"Rack de TV","2","Soporte Estante - 5/5","unidad","4","","","","","","","","","","","","","","","","","","","","",""
"Rack de TV","2","Pata - PVC Reg. 70-100","unidad","5","","","","","","","","","","","","","","","","","","","","",""
"Rack de TV","2","Zócalo 3m - 100mm","metro","1,5","","","","","","","","","","","","","","","","","","","","",""
"Rack de TV","2","Tornillo 50mm - Melamina T10","unidad","24","","","","","","","","","","","","","","","","","","","","",""
"Rack de TV","2","Tornillo 16mm - Melamina T10","unidad","68","","","","","","","","","","","","","","","","","","","","",""
"Rack de TV","3","Placa MDF 18mm - * Nivel 3","placa","1","","","","","","","","","","","","","","","","","","","","",""
"Rack de TV","3","Fondo MDF - Blanco Absoluto Soft","placa","1","","","","","","","","","","","","","","","","","","","","",""
"Rack de TV","3","Tapacanto - ABS Egger","metro","18","Medida 2×23mm","","","","","","","","","","","","","","","","","","","",""
"Rack de TV","3","Bisagra - Codo 0 C.Suave","unidad","4","","","","","","","","","","","","","","","","","","","","",""
"Rack de TV","3","Corredera Telesc. - C.Suave","par","1","Medida 40cm","","","","","","","","","","","","","","","","","","","",""
"Rack de TV","3","Soporte Estante - 5/5","unidad","4","","","","","","","","","","","","","","","","","","","","",""
"Rack de TV","3","Pata - PVC Reg. 70-100","unidad","5","","","","","","","","","","","","","","","","","","","","",""
"Rack de TV","3","Zócalo 3m - 100mm","metro","1,5","","","","","","","","","","","","","","","","","","","","",""
"Rack de TV","3","Tornillo 50mm - Melamina T10","unidad","24","","","","","","","","","","","","","","","","","","","","",""
"Rack de TV","3","Tornillo 16mm - Melamina T10","unidad","68","","","","","","","","","","","","","","","","","","","","",""
"Rack de TV","4","Placa MDF Crudo 18mm - * Nivel 4","placa","1","","","","","","","","","","","","","","","","","","","","",""
"Rack de TV","4","Fondo MDF - Blanco Absoluto Soft","placa","1","","","","","","","","","","","","","","","","","","","","",""
"Rack de TV","4","Tapacanto - ABS Egger","metro","18","Medida 2×23mm","","","","","","","","","","","","","","","","","","","",""
"Rack de TV","4","Bisagra - Codo 0 C.Suave","unidad","4","","","","","","","","","","","","","","","","","","","","",""
"Rack de TV","4","Guía Oculta - C.Suave","par","1","Medida 40cm","","","","","","","","","","","","","","","","","","","",""
"Rack de TV","4","Soporte Estante - 5/5","unidad","4","","","","","","","","","","","","","","","","","","","","",""
"Rack de TV","4","Pata - PVC Reg. 70-100","unidad","5","","","","","","","","","","","","","","","","","","","","",""
"Rack de TV","4","Zócalo 3m - 100mm","metro","1,5","","","","","","","","","","","","","","","","","","","","",""
"Rack de TV","4","Tornillo 50mm - Melamina T10","unidad","24","","","","","","","","","","","","","","","","","","","","",""
"Rack de TV","4","Tornillo 16mm - Melamina T10","unidad","68","","","","","","","","","","","","","","","","","","","","",""
"Rack de TV","5","Placa Rauvisio - Brilliant","placa","1","","","","","","","","","","","","","","","","","","","","",""
"Rack de TV","5","Placa MDF 18mm - * Nivel 2 Blanco","placa","1","Interior","","","","","","","","","","","","","","","","","","","",""
"Rack de TV","5","Fondo MDF - Blanco Absoluto Soft","placa","1","","","","","","","","","","","","","","","","","","","","",""
"Rack de TV","5","Tapacanto - ABS PerfectSense","metro","18","Medida 1×23mm","","","","","","","","","","","","","","","","","","","",""
"Rack de TV","5","Bisagra - Codo 0 C.Suave","unidad","4","","","","","","","","","","","","","","","","","","","","",""
"Rack de TV","5","Matrix S - Blanco 84mm","kit","1","Medida 40cm","","","","","","","","","","","","","","","","","","","",""
"Rack de TV","5","Soporte Estante - 5/5","unidad","4","","","","","","","","","","","","","","","","","","","","",""
"Rack de TV","5","Pata - PVC Reg. 70-100","unidad","5","","","","","","","","","","","","","","","","","","","","",""
"Rack de TV","5","Zócalo 3m - 100mm","metro","1,5","","","","","","","","","","","","","","","","","","","","",""
"Rack de TV","5","Tornillo 50mm - Melamina T10","unidad","16","","","","","","","","","","","","","","","","","","","","",""
"Rack de TV","5","Tornillo 16mm - Melamina T10","unidad","68","","","","","","","","","","","","","","","","","","","","",""